produto,estado,semana,preco_modelo,preco_baseline,mae_modelo_estado,mae_baseline_estado
GLP,PA,2026-08-03/2026-08-09,118.95564103407618,119.0,1.7683536666306103,1.7260416666666665
GLP,PA,2026-08-10/2026-08-16,118.97469526997718,119.0,1.7683536666306103,1.7260416666666665
GLP,PA,2026-08-17/2026-08-23,118.93033630405336,119.0,1.7683536666306103,1.7260416666666665
GLP,PA,2026-08-24/2026-08-30,118.88597733812954,119.0,1.7683536666306103,1.7260416666666665
GLP,PB,2026-08-03/2026-08-09,109.96080214109102,110.0,0.8461928772413231,0.7708333333333334
GLP,PB,2026-08-10/2026-08-16,109.9258451459441,110.0,0.8461928772413231,0.7708333333333334
GLP,PB,2026-08-17/2026-08-23,109.89088815079717,110.0,0.8461928772413231,0.7708333333333334
GLP,PB,2026-08-24/2026-08-30,109.85593115565024,110.0,0.8461928772413231,0.7708333333333334
GLP,PE,2026-08-03/2026-08-09,101.3796161852249,101.0,0.9225600855428034,0.8543749999999998
GLP,PE,2026-08-10/2026-08-16,101.74165507082262,101.0,0.9225600855428034,0.8543749999999998
GLP,PE,2026-08-17/2026-08-23,101.9007876668562,101.0,0.9225600855428034,0.8543749999999998
GLP,PE,2026-08-24/2026-08-30,102.05992026288979,101.0,0.9225600855428034,0.8543749999999998
GLP,PI,2026-08-03/2026-08-09,115.00726848636228,114.99,1.013429776862151,1.0012500000000004
GLP,PI,2026-08-10/2026-08-16,115.02453697272456,114.99,1.013429776862151,1.0012500000000004
GLP,PI,2026-08-17/2026-08-23,115.04180545908685,114.99,1.013429776862151,1.0012500000000004
GLP,PI,2026-08-24/2026-08-30,115.05907394544913,114.99,1.013429776862151,1.0012500000000004
GLP,PR,2026-08-03/2026-08-09,109.96504300485307,110.0,1.5244349175828684,1.5306249999999997
GLP,PR,2026-08-10/2026-08-16,109.93008600970614,110.0,1.5244349175828684,1.5306249999999997
GLP,PR,2026-08-17/2026-08-23,109.89512901455922,110.0,1.5244349175828684,1.5306249999999997
GLP,PR,2026-08-24/2026-08-30,109.86017201941229,110.0,1.5244349175828684,1.5306249999999997
GLP,RJ,2026-08-03/2026-08-09,105.0291126039071,104.995,0.993568254594452,0.8946874999999999
GLP,RJ,2026-08-10/2026-08-16,105.06322520781418,104.995,0.993568254594452,0.8946874999999999
GLP,RJ,2026-08-17/2026-08-23,105.09733781172127,104.995,0.993568254594452,0.8946874999999999
GLP,RJ,2026-08-24/2026-08-30,105.13145041562836,104.995,0.993568254594452,0.8946874999999999
GLP,RN,2026-08-03/2026-08-09,110.60520917132706,110.0,1.7955917432119624,1.779166666666666
GLP,RN,2026-08-10/2026-08-16,110.67169588140017,110.0,1.7955917432119624,1.779166666666666
GLP,RN,2026-08-17/2026-08-23,110.79500694249508,110.0,1.7955917432119624,1.779166666666666
GLP,RN,2026-08-24/2026-08-30,110.78068599662494,110.0,1.7955917432119624,1.779166666666666
GLP,RO,2026-08-03/2026-08-09,127.83805420860314,128.0,1.6412761305095644,1.6554166666666674
GLP,RO,2026-08-10/2026-08-16,127.67443281165018,128.0,1.6412761305095644,1.6554166666666674
GLP,RO,2026-08-17/2026-08-23,127.51434467201143,128.0,1.6412761305095644,1.6554166666666674
GLP,RO,2026-08-24/2026-08-30,127.32883445839275,128.0,1.6412761305095644,1.6554166666666674
GLP,RR,2026-08-03/2026-08-09,144.85700594991067,145.0,0.6491598268194659,0.4375
GLP,RR,2026-08-10/2026-08-16,144.72358033056457,145.0,0.6491598268194659,0.4375
GLP,RR,2026-08-17/2026-08-23,144.58058628047525,145.0,0.6491598268194659,0.4375
GLP,RR,2026-08-24/2026-08-30,144.43759223038592,145.0,0.6491598268194659,0.4375
GLP,RS,2026-08-03/2026-08-09,116.0578755402147,116.0,0.5377000302696929,0.4854166666666663
GLP,RS,2026-08-10/2026-08-16,116.10181869210197,116.0,0.5377000302696929,0.4854166666666663
GLP,RS,2026-08-17/2026-08-23,116.13228732402663,116.0,0.5377000302696929,0.4854166666666663
GLP,RS,2026-08-24/2026-08-30,116.1627559559513,116.0,0.5377000302696929,0.4854166666666663
GLP,SC,2026-08-03/2026-08-09,124.50752387115817,123.95,0.9337172846302124,0.8847916666666663
GLP,SC,2026-08-10/2026-08-16,124.53726125767815,123.95,0.9337172846302124,0.8847916666666663
