produto,estado,semana,preco_modelo,preco_baseline,mae_modelo_estado,mae_baseline_estado
ETANOL,AC,2026-08-24/2026-08-30,4.83228476750299,5.135,0.1901534802567842,0.1834374999999999
ETANOL,AL,2026-08-03/2026-08-09,5.09470114698766,5.09,0.0596948261311959,0.053125
ETANOL,AL,2026-08-10/2026-08-16,5.099262320533141,5.09,0.0596948261311959,0.053125
ETANOL,AL,2026-08-17/2026-08-23,5.103592504728463,5.09,0.0596948261311959,0.053125
ETANOL,AL,2026-08-24/2026-08-30,5.1070593443402466,5.09,0.0596948261311959,0.053125
ETANOL,AM,2026-08-03/2026-08-09,4.981004126289575,4.99,0.0351131983099069,0.0314583333333332
ETANOL,AM,2026-08-10/2026-08-16,4.972485758035211,4.99,0.0351131983099069,0.0314583333333332
ETANOL,AM,2026-08-17/2026-08-23,4.977017908046637,4.99,0.0351131983099069,0.0314583333333332
ETANOL,AM,2026-08-24/2026-08-30,4.980958025799744,4.99,0.0351131983099069,0.0314583333333332
ETANOL,AP,2026-08-03/2026-08-09,5.805294203524452,5.81,0.0267366503095836,0.0211458333333333
ETANOL,AP,2026-08-10/2026-08-16,5.800588407048905,5.81,0.0267366503095836,0.0211458333333333
ETANOL,AP,2026-08-17/2026-08-23,5.795882610573358,5.81,0.0267366503095836,0.0211458333333333
ETANOL,AP,2026-08-24/2026-08-30,5.791931126780902,5.81,0.0267366503095836,0.0211458333333333
ETANOL,BA,2026-08-03/2026-08-09,4.751862280765476,4.75,0.0648277260155016,0.0602083333333333
ETANOL,BA,2026-08-10/2026-08-16,4.75095341753379,4.75,0.0648277260155016,0.0602083333333333
ETANOL,BA,2026-08-17/2026-08-23,4.753411501659041,4.75,0.0648277260155016,0.0602083333333333
ETANOL,BA,2026-08-24/2026-08-30,4.755806195591872,4.75,0.0648277260155016,0.0602083333333333
ETANOL,CE,2026-08-03/2026-08-09,5.153224966529531,5.15,0.0794696807904351,0.069375
ETANOL,CE,2026-08-10/2026-08-16,5.155780803462731,5.15,0.0794696807904351,0.069375
ETANOL,CE,2026-08-17/2026-08-23,5.157271396203141,5.15,0.0794696807904351,0.069375
ETANOL,CE,2026-08-24/2026-08-30,5.158262974899306,5.15,0.0794696807904351,0.069375
ETANOL,DF,2026-08-03/2026-08-09,4.181445373845012,4.18,0.1586077005325985,0.1495833333333334
ETANOL,DF,2026-08-10/2026-08-16,4.182609625553927,4.18,0.1586077005325985,0.1495833333333334
ETANOL,DF,2026-08-17/2026-08-23,4.1839053843515,4.18,0.1586077005325985,0.1495833333333334
ETANOL,DF,2026-08-24/2026-08-30,4.18934309969426,4.18,0.1586077005325985,0.1495833333333334
ETANOL,ES,2026-08-03/2026-08-09,4.588759556047518,4.59,0.0342801505071428,0.0243749999999999
ETANOL,ES,2026-08-10/2026-08-16,4.587947314787681,4.59,0.0342801505071428,0.0243749999999999
ETANOL,ES,2026-08-17/2026-08-23,4.59043475511754,4.59,0.0342801505071428,0.0243749999999999
ETANOL,ES,2026-08-24/2026-08-30,4.592870921529629,4.59,0.0342801505071428,0.0243749999999999
ETANOL,GO,2026-08-03/2026-08-09,4.098730082485347,4.09,0.0932819763538118,0.0881249999999999
ETANOL,GO,2026-08-10/2026-08-16,4.103529213418372,4.09,0.0932819763538118,0.0881249999999999
ETANOL,GO,2026-08-17/2026-08-23,4.108477224316025,4.09,0.0932819763538118,0.0881249999999999
ETANOL,GO,2026-08-24/2026-08-30,4.1140758005162725,4.09,0.0932819763538118,0.0881249999999999
ETANOL,MA,2026-08-03/2026-08-09,5.192082624998729,5.19,0.058471082877458,0.0516666666666666
ETANOL,MA,2026-08-10/2026-08-16,5.193699379051913,5.19,0.058471082877458,0.0516666666666666
ETANOL,MA,2026-08-17/2026-08-23,5.195048420021715,5.19,0.058471082877458,0.0516666666666666
ETANOL,MA,2026-08-24/2026-08-30,5.196913232614661,5.19,0.058471082877458,0.0516666666666666
ETANOL,MG,2026-08-03/2026-08-09,3.998770340185384,3.99,0.0461973885377813,0.0375
ETANOL,MG,2026-08-10/2026-08-16,4.005771766338704,3.99,0.0461973885377813,0.0375
ETANOL,MG,2026-08-17/2026-08-23,4.012632606853941,3.99,0.0461973885377813,0.0375
ETANOL,MG,2026-08-24/2026-08-30,4.019002982346342,3.99,0.0461973885377813,0.0375
ETANOL,MS,2026-08-03/2026-08-09,3.8978799308147023,3.89,0.0903835239800344,0.0828125
ETANOL,MS,2026-08-10/2026-08-16,3.9057598616294045,3.89,0.0903835239800344,0.0828125
ETANOL,MS,2026-08-17/2026-08-23,3.9134221200744825,3.89,0.0903835239800344,0.0828125
ETANOL,MS,2026-08-24/2026-08-30,3.921178183215236,3.89,0.0903835239800344,0.0828125
